Question,Correct Answer
Poverty rate in Madison County,13.0
Unemployment rate in Madison County,4.9
Total population in Madison County,4079
Average income in Madison County,50895.0
Poverty rate in Madison County,10.7
Unemployment rate in Madison County,5.2
Total population in Madison County,5936
Average income in Madison County,47951.0
Poverty rate in Madison County,8.8
Unemployment rate in Madison County,6.2
Total population in Madison County,6179
Average income in Madison County,51664.0
Poverty rate in Madison County,11.2
Unemployment rate in Madison County,11.4
Total population in Madison County,12821
Average income in Madison County,88362.0
Poverty rate in Madison County,5.4
Unemployment rate in Madison County,5.3
Total population in Madison County,3533
Average income in Madison County,57416.0
Poverty rate in Madison County,18.3
Unemployment rate in Madison County,7.5
Total population in Madison County,5711
Average income in Madison County,72273.0
Poverty rate in Madison County,2.7
Unemployment rate in Madison County,4.9
Total population in Madison County,7389
Average income in Madison County,115653.0
Poverty rate in Madison County,2.6
Unemployment rate in Madison County,2.1
Total population in Madison County,10623
Average income in Madison County,38158.0
Poverty rate in Madison County,27.8
Unemployment rate in Madison County,7.8
Total population in Madison County,6807
Average income in Madison County,105972.0
Poverty rate in Madison County,1.2
Unemployment rate in Madison County,4.6
Total population in Madison County,8349
Average income in Madison County,88311.0
Poverty rate in Madison County,4.5
Unemployment rate in Madison County,3.2
Total population in Madison County,9155
Average income in Madison County,72938.0
Poverty rate in Madison County,7.1
Unemployment rate in Madison County,8.7
Total population in Madison County,8622
Average income in Madison County,64931.0
Poverty rate in Madison County,14.6
Unemployment rate in Madison County,5.5
Total population in Madison County,10135
Average income in Madison County,87536.0
Poverty rate in Madison County,4.9
Unemployment rate in Madison County,4.0
Total population in Madison County,14881
Average income in Madison County,113725.0
Poverty rate in Madison County,1.9
Unemployment rate in Madison County,3.2
Total population in Madison County,3189
Average income in Madison County,48889.0
Poverty rate in Madison County,17.6
Unemployment rate in Madison County,10.6
Total population in Madison County,9373
Average income in Madison County,115801.0
Poverty rate in Madison County,4.2
Unemployment rate in Madison County,4.5
Total population in Madison County,6078
Average income in Madison County,133906.0
Poverty rate in Madison County,5.8
Unemployment rate in Madison County,6.0
Total population in Madison County,5260
Average income in Madison County,80019.0
Poverty rate in Madison County,3.4
Unemployment rate in Madison County,4.8
Total population in Madison County,8992
Average income in Madison County,110893.0
Poverty rate in Madison County,6.6
Unemployment rate in Madison County,5.8
Total population in Madison County,5205
Average income in Madison County,57589.0
Poverty rate in Madison County,9.8
Unemployment rate in Madison County,6.5
Total population in Madison County,7491
Average income in Madison County,53525.0
Poverty rate in Madison County,12.8
Unemployment rate in Madison County,2.9
Total population in Madison County,1488
Average income in Madison County,76750.0
Poverty rate in Madison County,5.9
Unemployment rate in Madison County,14.7
Total population in Madison County,11948
Average income in Madison County,88217.0
Poverty rate in Madison County,6.9
Unemployment rate in Madison County,5.1
Total population in Madison County,6413
Average income in Madison County,63885.0
Poverty rate in Madison County,7.8
Unemployment rate in Madison County,6.2
Total population in Madison County,4263
Average income in Madison County,50488.0
Poverty rate in Madison County,14.8
Unemployment rate in Madison County,5.4
Total population in Marengo County,4732
Average income in Marengo County,19675.0
Poverty rate in Marengo County,38.6
Unemployment rate in Marengo County,15.7
Total population in Marengo County,4189
Average income in Marengo County,34353.0
Poverty rate in Marengo County,23.4
Unemployment rate in Marengo County,23.7
Total population in Marengo County,1648
Average income in Marengo County,21951.0
Poverty rate in Marengo County,40.6
Unemployment rate in Marengo County,10.2
Total population in Marengo County,2542
Average income in Marengo County,34281.0
Poverty rate in Marengo County,26.1
Unemployment rate in Marengo County,5.5
Total population in Marengo County,2335
Average income in Marengo County,34605.0
Poverty rate in Marengo County,24.4
Unemployment rate in Marengo County,5.1
Total population in Marengo County,4297
Average income in Marengo County,60833.0
Poverty rate in Marengo County,7.8
Unemployment rate in Marengo County,7.4
Total population in Marion County,4355
Average income in Marion County,30327.0
Poverty rate in Marion County,22.2
Unemployment rate in Marion County,5.8
Total population in Marion County,2580
Average income in Marion County,31480.0
Poverty rate in Marion County,19.0
Unemployment rate in Marion County,6.6
Total population in Marion County,1482
Average income in Marion County,36875.0
Poverty rate in Marion County,13.0
Unemployment rate in Marion County,1.0
Total population in Marion County,5052
Average income in Marion County,45257.0
Poverty rate in Marion County,14.3
Unemployment rate in Marion County,5.2
Total population in Marion County,5405
Average income in Marion County,35858.0
Poverty rate in Marion County,15.2
Unemployment rate in Marion County,4.8
Total population in Marion County,2361
Average income in Marion County,37614.0
Poverty rate in Marion County,13.1
Unemployment rate in Marion County,4.5
Total population in Marion County,3407
Average income in Marion County,28679.0
Poverty rate in Marion County,31.6
Unemployment rate in Marion County,10.4
Total population in Marion County,5416
Average income in Marion County,40938.0
Poverty rate in Marion County,13.0
Unemployment rate in Marion County,4.1
Total population in Marshall County,3160
Average income in Marshall County,33901.0
Poverty rate in Marshall County,33.7
Unemployment rate in Marshall County,7.9
Total population in Marshall County,5203
Average income in Marshall County,41611.0
Poverty rate in Marshall County,14.1
Unemployment rate in Marshall County,7.8
Total population in Marshall County,4560
Average income in Marshall County,47049.0
Poverty rate in Marshall County,8.2
Unemployment rate in Marshall County,11.3
Total population in Marshall County,6779
Average income in Marshall County,57639.0
Poverty rate in Marshall County,6.3
Unemployment rate in Marshall County,4.8
Total population in Marshall County,4505
Average income in Marshall County,43326.0
Poverty rate in Marshall County,20.5
Unemployment rate in Marshall County,8.4
Total population in Marshall County,3430
Average income in Marshall County,62542.0
Poverty rate in Marshall County,9.0
Unemployment rate in Marshall County,7.8
Total population in Marshall County,7270
Average income in Marshall County,41313.0
Poverty rate in Marshall County,15.5
Unemployment rate in Marshall County,6.4
Total population in Marshall County,6324
Average income in Marshall County,41883.0
Poverty rate in Marshall County,21.9
Unemployment rate in Marshall County,5.7
Total population in Marshall County,3541
Average income in Marshall County,40605.0
Poverty rate in Marshall County,29.8
Unemployment rate in Marshall County,6.0
Total population in Marshall County,3654
Average income in Marshall County,37878.0
Poverty rate in Marshall County,13.7
Unemployment rate in Marshall County,8.6
Total population in Marshall County,5614
Average income in Marshall County,37676.0
Poverty rate in Marshall County,30.6
Unemployment rate in Marshall County,2.9
Total population in Marshall County,7919
Average income in Marshall County,30889.0
Poverty rate in Marshall County,41.1
Unemployment rate in Marshall County,2.3
Total population in Marshall County,4175
Average income in Marshall County,51266.0
Poverty rate in Marshall County,16.5
Unemployment rate in Marshall County,2.9
Total population in Marshall County,5740
Average income in Marshall County,32014.0
Poverty rate in Marshall County,21.2
Unemployment rate in Marshall County,4.1
Total population in Marshall County,5657
Average income in Marshall County,41276.0
Poverty rate in Marshall County,20.1
Unemployment rate in Marshall County,7.1
Total population in Marshall County,5701
Average income in Marshall County,37719.0
Poverty rate in Marshall County,24.8
Unemployment rate in Marshall County,10.1
Total population in Marshall County,5471
Average income in Marshall County,33007.0
Poverty rate in Marshall County,29.5
Unemployment rate in Marshall County,9.2
Total population in Marshall County,6035
Average income in Marshall County,41972.0
Poverty rate in Marshall County,15.9
Unemployment rate in Marshall County,7.8
Total population in Mobile County,1391
Average income in Mobile County,28417.0
Poverty rate in Mobile County,32.2
Unemployment rate in Mobile County,7.7
Total population in Mobile County,1230
Average income in Mobile County,22679.0
Poverty rate in Mobile County,41.0
Unemployment rate in Mobile County,4.3
Total population in Mobile County,789
Average income in Mobile County,17759.0
Poverty rate in Mobile County,35.0
Unemployment rate in Mobile County,1.9
Total population in Mobile County,1791
Average income in Mobile County,23878.0
Poverty rate in Mobile County,32.0
Unemployment rate in Mobile County,38.1
Total population in Mobile County,1985
Average income in Mobile County,20956.0
Poverty rate in Mobile County,41.1
Unemployment rate in Mobile County,13.3
Total population in Mobile County,2392
Average income in Mobile County,28929.0
Poverty rate in Mobile County,41.3
Unemployment rate in Mobile County,10.5
Total population in Mobile County,2377
Average income in Mobile County,25852.0
Poverty rate in Mobile County,35.1
Unemployment rate in Mobile County,19.6
Total population in Mobile County,4950
Average income in Mobile County,35313.0
Poverty rate in Mobile County,21.9
Unemployment rate in Mobile County,13.3
Total population in Mobile County,1847
Average income in Mobile County,47434.0
Poverty rate in Mobile County,20.2
Unemployment rate in Mobile County,14.3
Total population in Mobile County,1917
Average income in Mobile County,56563.0
Poverty rate in Mobile County,14.8
Unemployment rate in Mobile County,1.2
Total population in Mobile County,1514
Average income in Mobile County,47542.0
Poverty rate in Mobile County,16.1
Unemployment rate in Mobile County,7.5
Total population in Mobile County,1663
Average income in Mobile County,28972.0
Poverty rate in Mobile County,29.9
Unemployment rate in Mobile County,4.0
Total population in Mobile County,1716
Average income in Mobile County,48350.0
Poverty rate in Mobile County,16.0
Unemployment rate in Mobile County,2.8
Total population in Mobile County,1912
Average income in Mobile County,17917.0
Poverty rate in Mobile County,27.6
Unemployment rate in Mobile County,6.0
Total population in Mobile County,5992
Average income in Mobile County,26210.0
Poverty rate in Mobile County,34.4
Unemployment rate in Mobile County,12.0
Total population in Mobile County,2659
Average income in Mobile County,24951.0
Poverty rate in Mobile County,24.9
Unemployment rate in Mobile County,18.9
Total population in Mobile County,1620
Average income in Mobile County,23710.0
Poverty rate in Mobile County,32.0
Unemployment rate in Mobile County,19.9
Total population in Mobile County,1447
Average income in Mobile County,16549.0
Poverty rate in Mobile County,46.2
Unemployment rate in Mobile County,14.2
Total population in Mobile County,1383
Average income in Mobile County,11250.0
Poverty rate in Mobile County,68.4
Unemployment rate in Mobile County,17.8
Total population in Mobile County,2680
Average income in Mobile County,32632.0
Poverty rate in Mobile County,40.9
Unemployment rate in Mobile County,8.7
Total population in Mobile County,2526
Average income in Mobile County,33071.0
Poverty rate in Mobile County,41.7
Unemployment rate in Mobile County,11.5
Total population in Mobile County,3047
Average income in Mobile County,40772.0
Poverty rate in Mobile County,33.2
Unemployment rate in Mobile County,6.7
Total population in Mobile County,1588
Average income in Mobile County,65417.0
Poverty rate in Mobile County,9.9
Unemployment rate in Mobile County,4.4
Total population in Mobile County,3857
Average income in Mobile County,38201.0
Poverty rate in Mobile County,27.7
Unemployment rate in Mobile County,12.1
Total population in Mobile County,2790
Average income in Mobile County,28365.0
Poverty rate in Mobile County,41.7
Unemployment rate in Mobile County,18.2
Total population in Mobile County,1982
Average income in Mobile County,27227.0
Poverty rate in Mobile County,25.8
Unemployment rate in Mobile County,10.6
Total population in Mobile County,1775
Average income in Mobile County,23728.0
Poverty rate in Mobile County,49.2
Unemployment rate in Mobile County,10.9
Total population in Mobile County,3151
Average income in Mobile County,21111.0
Poverty rate in Mobile County,44.1
Unemployment rate in Mobile County,11.4
Total population in Mobile County,3562
Average income in Mobile County,58720.0
Poverty rate in Mobile County,12.4
Unemployment rate in Mobile County,5.5
Total population in Mobile County,2080
Average income in Mobile County,60066.0
Poverty rate in Mobile County,11.9
Unemployment rate in Mobile County,2.2
Total population in Mobile County,2243
Average income in Mobile County,24358.0
Poverty rate in Mobile County,31.9
Unemployment rate in Mobile County,20.7
Total population in Mobile County,2403
Average income in Mobile County,20394.0
Poverty rate in Mobile County,57.5
Unemployment rate in Mobile County,17.9
Total population in Mobile County,4561
Average income in Mobile County,29574.0
Poverty rate in Mobile County,30.4
Unemployment rate in Mobile County,4.1
Total population in Mobile County,3854
Average income in Mobile County,42500.0
Poverty rate in Mobile County,27.2
Unemployment rate in Mobile County,6.8
Total population in Mobile County,3445
Average income in Mobile County,51044.0
Poverty rate in Mobile County,7.7
Unemployment rate in Mobile County,4.4
Total population in Mobile County,4642
Average income in Mobile County,68564.0
Poverty rate in Mobile County,4.7
Unemployment rate in Mobile County,4.7
Total population in Mobile County,2593
Average income in Mobile County,41295.0
Poverty rate in Mobile County,15.6
Unemployment rate in Mobile County,4.5
Total population in Mobile County,2946
Average income in Mobile County,29809.0
Poverty rate in Mobile County,30.0
Unemployment rate in Mobile County,5.3
Total population in Mobile County,3839
Average income in Mobile County,30040.0
Poverty rate in Mobile County,26.0
Unemployment rate in Mobile County,10.5
Total population in Mobile County,2564
Average income in Mobile County,19551.0
Poverty rate in Mobile County,43.3
Unemployment rate in Mobile County,13.0
Total population in Mobile County,2740
Average income in Mobile County,40908.0
Poverty rate in Mobile County,14.4
Unemployment rate in Mobile County,1.3
Total population in Mobile County,3967
Average income in Mobile County,73644.0
Poverty rate in Mobile County,6.7
Unemployment rate in Mobile County,1.2
Total population in Mobile County,4488
Average income in Mobile County,33889.0
Poverty rate in Mobile County,29.3
Unemployment rate in Mobile County,13.6
Total population in Mobile County,2599
Average income in Mobile County,26675.0
Poverty rate in Mobile County,33.1
Unemployment rate in Mobile County,9.5
Total population in Mobile County,1916
Average income in Mobile County,49500.0
Poverty rate in Mobile County,9.4
Unemployment rate in Mobile County,5.1
Total population in Mobile County,3164
Average income in Mobile County,43142.0
Poverty rate in Mobile County,16.6
Unemployment rate in Mobile County,6.3
Total population in Mobile County,7372
Average income in Mobile County,49923.0
Poverty rate in Mobile County,6.9
Unemployment rate in Mobile County,6.9
Total population in Mobile County,3574
Average income in Mobile County,45854.0
Poverty rate in Mobile County,16.0
Unemployment rate in Mobile County,8.7
Total population in Mobile County,3644
Average income in Mobile County,67604.0
Poverty rate in Mobile County,16.3
Unemployment rate in Mobile County,3.4
Total population in Mobile County,2470
Average income in Mobile County,104746.0
Poverty rate in Mobile County,1.5
Unemployment rate in Mobile County,1.4
Total population in Mobile County,1432
Average income in Mobile County,16667.0
Poverty rate in Mobile County,52.5
Unemployment rate in Mobile County,11.6
Total population in Mobile County,757
Average income in Mobile County,nan
Poverty rate in Mobile County,nan
Unemployment rate in Mobile County,16.9
Total population in Mobile County,3355
Average income in Mobile County,34732.0
Poverty rate in Mobile County,11.7
Unemployment rate in Mobile County,5.1
Total population in Mobile County,3593
Average income in Mobile County,33182.0
Poverty rate in Mobile County,27.9
Unemployment rate in Mobile County,13.1
Total population in Mobile County,1414
Average income in Mobile County,44539.0
Poverty rate in Mobile County,9.5
Unemployment rate in Mobile County,8.2
Total population in Mobile County,3497
Average income in Mobile County,46739.0
Poverty rate in Mobile County,13.1
Unemployment rate in Mobile County,7.6
Total population in Mobile County,4382
Average income in Mobile County,62000.0
Poverty rate in Mobile County,8.2
Unemployment rate in Mobile County,3.3
Total population in Mobile County,4037
Average income in Mobile County,51660.0
Poverty rate in Mobile County,9.9
Unemployment rate in Mobile County,4.8
Total population in Mobile County,3095
Average income in Mobile County,64639.0
Poverty rate in Mobile County,11.2
Unemployment rate in Mobile County,1.6
Total population in Mobile County,4896
Average income in Mobile County,38096.0
Poverty rate in Mobile County,20.1
Unemployment rate in Mobile County,9.9
Total population in Mobile County,4700
Average income in Mobile County,60742.0
Poverty rate in Mobile County,2.8
Unemployment rate in Mobile County,6.9
Total population in Mobile County,6950
Average income in Mobile County,69144.0
Poverty rate in Mobile County,6.7
Unemployment rate in Mobile County,2.5
Total population in Mobile County,4132
Average income in Mobile County,49250.0
Poverty rate in Mobile County,13.5
Unemployment rate in Mobile County,2.1
Total population in Mobile County,1236
Average income in Mobile County,35357.0
Poverty rate in Mobile County,17.3
Unemployment rate in Mobile County,10.1
Total population in Mobile County,2041
Average income in Mobile County,22165.0
Poverty rate in Mobile County,32.6
Unemployment rate in Mobile County,12.5
Total population in Mobile County,891
Average income in Mobile County,17813.0
Poverty rate in Mobile County,56.8
Unemployment rate in Mobile County,26.0
Total population in Mobile County,2480
Average income in Mobile County,22778.0
Poverty rate in Mobile County,34.2
Unemployment rate in Mobile County,28.0
Total population in Mobile County,731
Average income in Mobile County,18125.0
Poverty rate in Mobile County,32.4
Unemployment rate in Mobile County,31.3
Total population in Mobile County,1123
Average income in Mobile County,15993.0
Poverty rate in Mobile County,59.3
Unemployment rate in Mobile County,22.0
Total population in Mobile County,3522
Average income in Mobile County,21793.0
Poverty rate in Mobile County,39.5
Unemployment rate in Mobile County,11.7
Total population in Mobile County,1679
Average income in Mobile County,23289.0
Poverty rate in Mobile County,38.5
Unemployment rate in Mobile County,20.0
Total population in Mobile County,1601
Average income in Mobile County,21094.0
Poverty rate in Mobile County,61.3
Unemployment rate in Mobile County,23.0
Total population in Mobile County,1614
Average income in Mobile County,40656.0
Poverty rate in Mobile County,28.9
Unemployment rate in Mobile County,9.5
Total population in Mobile County,1985
Average income in Mobile County,37768.0
Poverty rate in Mobile County,25.2
Unemployment rate in Mobile County,3.3
Total population in Mobile County,4564
Average income in Mobile County,52172.0
Poverty rate in Mobile County,8.2
Unemployment rate in Mobile County,6.4
Total population in Mobile County,2767
Average income in Mobile County,45357.0
Poverty rate in Mobile County,18.7
Unemployment rate in Mobile County,8.0
Total population in Mobile County,7365
Average income in Mobile County,54047.0
Poverty rate in Mobile County,16.0
Unemployment rate in Mobile County,8.8
Total population in Mobile County,7207
Average income in Mobile County,62171.0
Poverty rate in Mobile County,10.5
Unemployment rate in Mobile County,5.6
Total population in Mobile County,4045
Average income in Mobile County,38450.0
Poverty rate in Mobile County,23.3
Unemployment rate in Mobile County,9.5
Total population in Mobile County,4428
Average income in Mobile County,45714.0
Poverty rate in Mobile County,7.2
Unemployment rate in Mobile County,2.3
Total population in Mobile County,5249
Average income in Mobile County,44632.0
Poverty rate in Mobile County,19.4
Unemployment rate in Mobile County,2.4
Total population in Mobile County,2258
Average income in Mobile County,45662.0
Poverty rate in Mobile County,11.8
Unemployment rate in Mobile County,2.8
Total population in Mobile County,5684
Average income in Mobile County,40587.0
Poverty rate in Mobile County,21.0
Unemployment rate in Mobile County,5.1
Total population in Mobile County,4761
Average income in Mobile County,50183.0
Poverty rate in Mobile County,19.8
Unemployment rate in Mobile County,5.5
Total population in Mobile County,7628
Average income in Mobile County,54853.0
Poverty rate in Mobile County,19.3
Unemployment rate in Mobile County,6.9
Total population in Mobile County,4994
Average income in Mobile County,62660.0
Poverty rate in Mobile County,13.9
Unemployment rate in Mobile County,8.5
Total population in Mobile County,10887
Average income in Mobile County,53613.0
Poverty rate in Mobile County,12.3
Unemployment rate in Mobile County,8.8
Total population in Mobile County,6793
Average income in Mobile County,68120.0
Poverty rate in Mobile County,6.6
Unemployment rate in Mobile County,4.0
Total population in Mobile County,4292
Average income in Mobile County,46719.0
Poverty rate in Mobile County,27.4
Unemployment rate in Mobile County,17.1
Total population in Mobile County,1821
Average income in Mobile County,43819.0
Poverty rate in Mobile County,17.7
Unemployment rate in Mobile County,6.2
Total population in Mobile County,12121
Average income in Mobile County,61145.0
Poverty rate in Mobile County,13.7
Unemployment rate in Mobile County,8.6
Total population in Mobile County,8592
Average income in Mobile County,65597.0
Poverty rate in Mobile County,7.9
Unemployment rate in Mobile County,3.1
Total population in Mobile County,8651
Average income in Mobile County,92835.0
Poverty rate in Mobile County,9.3
Unemployment rate in Mobile County,2.6
Total population in Mobile County,5980
Average income in Mobile County,76910.0
Poverty rate in Mobile County,5.0
Unemployment rate in Mobile County,3.5
Total population in Mobile County,5248
Average income in Mobile County,60000.0
Poverty rate in Mobile County,9.4
Unemployment rate in Mobile County,8.3
Total population in Mobile County,13269
Average income in Mobile County,62732.0
Poverty rate in Mobile County,17.1
Unemployment rate in Mobile County,3.5
Total population in Mobile County,5757
Average income in Mobile County,65213.0
Poverty rate in Mobile County,12.0
Unemployment rate in Mobile County,9.3
Total population in Mobile County,6086
Average income in Mobile County,43674.0
Poverty rate in Mobile County,23.8
Unemployment rate in Mobile County,6.1
Total population in Mobile County,3598
Average income in Mobile County,36667.0
Poverty rate in Mobile County,23.5
Unemployment rate in Mobile County,15.1
Total population in Mobile County,8543
Average income in Mobile County,81587.0
Poverty rate in Mobile County,6.7
Unemployment rate in Mobile County,4.0
Total population in Mobile County,3123
Average income in Mobile County,39063.0
Poverty rate in Mobile County,19.4
Unemployment rate in Mobile County,11.5
Total population in Mobile County,7470
Average income in Mobile County,39132.0
Poverty rate in Mobile County,24.1
Unemployment rate in Mobile County,7.0
Total population in Mobile County,4235
Average income in Mobile County,48750.0
Poverty rate in Mobile County,15.0
Unemployment rate in Mobile County,6.4
Total population in Mobile County,4533
Average income in Mobile County,64783.0
Poverty rate in Mobile County,6.4
Unemployment rate in Mobile County,2.7
Total population in Mobile County,4736
Average income in Mobile County,51218.0
Poverty rate in Mobile County,10.3
Unemployment rate in Mobile County,7.7
Total population in Mobile County,3149
Average income in Mobile County,33091.0
Poverty rate in Mobile County,24.2
Unemployment rate in Mobile County,9.5
Total population in Mobile County,3382
Average income in Mobile County,51976.0
Poverty rate in Mobile County,17.5
Unemployment rate in Mobile County,1.2
Total population in Mobile County,2688
Average income in Mobile County,47475.0
Poverty rate in Mobile County,18.9
Unemployment rate in Mobile County,7.7
Total population in Mobile County,2641
Average income in Mobile County,63750.0
Poverty rate in Mobile County,12.5
Unemployment rate in Mobile County,7.3
Total population in Mobile County,4125
Average income in Mobile County,35777.0
Poverty rate in Mobile County,28.2
Unemployment rate in Mobile County,4.2
Total population in Mobile County,3304
Average income in Mobile County,35637.0
Poverty rate in Mobile County,18.2
Unemployment rate in Mobile County,4.7
Total population in Mobile County,1343
Average income in Mobile County,24878.0
Poverty rate in Mobile County,40.0
Unemployment rate in Mobile County,12.0
Total population in Mobile County,1967
Average income in Mobile County,24145.0
Poverty rate in Mobile County,43.8
Unemployment rate in Mobile County,24.5
Total population in Mobile County,1264
Average income in Mobile County,18900.0
Poverty rate in Mobile County,34.7
Unemployment rate in Mobile County,19.0
Total population in Mobile County,0
Average income in Mobile County,nan
Poverty rate in Mobile County,nan
Unemployment rate in Mobile County,nan
Total population in Monroe County,1215
Average income in Monroe County,17981.0
Poverty rate in Monroe County,42.6
Unemployment rate in Monroe County,28.0
Total population in Monroe County,1725
Average income in Monroe County,18155.0
Poverty rate in Monroe County,39.1
Unemployment rate in Monroe County,26.3
Total population in Monroe County,1219
Average income in Monroe County,13456.0
Poverty rate in Monroe County,37.3
Unemployment rate in Monroe County,42.9
Total population in Monroe County,6086
Average income in Monroe County,27292.0
Poverty rate in Monroe County,35.0
Unemployment rate in Monroe County,20.0
Total population in Monroe County,3174
Average income in Monroe County,26108.0
Poverty rate in Monroe County,42.3
Unemployment rate in Monroe County,26.5
Total population in Monroe County,6919
Average income in Monroe County,35921.0
Poverty rate in Monroe County,27.7
Unemployment rate in Monroe County,14.8
Total population in Monroe County,1407
Average income in Monroe County,29423.0
Poverty rate in Monroe County,21.8
Unemployment rate in Monroe County,16.5
Total population in Montgomery County,363
Average income in Montgomery County,14635.0
Poverty rate in Montgomery County,30.5
Unemployment rate in Montgomery County,0.8
Total population in Montgomery County,1304
Average income in Montgomery County,26458.0
Poverty rate in Montgomery County,22.5
Unemployment rate in Montgomery County,9.6
Total population in Montgomery County,1322
Average income in Montgomery County,20746.0
Poverty rate in Montgomery County,35.2
Unemployment rate in Montgomery County,10.5
Total population in Montgomery County,4082
Average income in Montgomery County,22298.0
Poverty rate in Montgomery County,41.2
Unemployment rate in Montgomery County,8.2
Total population in Montgomery County,2549
Average income in Montgomery County,36953.0
Poverty rate in Montgomery County,25.7
Unemployment rate in Montgomery County,5.4
Total population in Montgomery County,1602
Average income in Montgomery County,19531.0
Poverty rate in Montgomery County,62.5
Unemployment rate in Montgomery County,16.2
Total population in Montgomery County,1420
Average income in Montgomery County,23490.0
Poverty rate in Montgomery County,43.2
Unemployment rate in Montgomery County,19.8
Total population in Montgomery County,2357
Average income in Montgomery County,90875.0
Poverty rate in Montgomery County,2.1
Unemployment rate in Montgomery County,3.6
Total population in Montgomery County,1706
Average income in Montgomery County,13983.0
Poverty rate in Montgomery County,62.4
Unemployment rate in Montgomery County,17.2
Total population in Montgomery County,3274
Average income in Montgomery County,16810.0
Poverty rate in Montgomery County,54.4
Unemployment rate in Montgomery County,12.6
Total population in Montgomery County,1433
Average income in Montgomery County,15885.0
Poverty rate in Montgomery County,57.6
Unemployment rate in Montgomery County,25.3
Total population in Montgomery County,1721
Average income in Montgomery County,50403.0
Poverty rate in Montgomery County,19.9
Unemployment rate in Montgomery County,6.8
Total population in Montgomery County,3659
Average income in Montgomery County,65313.0
Poverty rate in Montgomery County,11.7
Unemployment rate in Montgomery County,0.8
Total population in Montgomery County,3297
Average income in Montgomery County,32361.0
Poverty rate in Montgomery County,36.6
Unemployment rate in Montgomery County,5.7
Total population in Montgomery County,3452
Average income in Montgomery County,27593.0
Poverty rate in Montgomery County,35.5
Unemployment rate in Montgomery County,19.6
Total population in Montgomery County,5064
Average income in Montgomery County,38859.0
Poverty rate in Montgomery County,10.2
Unemployment rate in Montgomery County,4.6
Total population in Montgomery County,3226
Average income in Montgomery County,48790.0
Poverty rate in Montgomery County,18.9
Unemployment rate in Montgomery County,7.3
Total population in Montgomery County,3105
Average income in Montgomery County,50393.0
Poverty rate in Montgomery County,10.8
Unemployment rate in Montgomery County,8.9
Total population in Montgomery County,4343
Average income in Montgomery County,63250.0
Poverty rate in Montgomery County,14.7
Unemployment rate in Montgomery County,4.3
Total population in Montgomery County,4041
Average income in Montgomery County,43348.0
Poverty rate in Montgomery County,22.8
Unemployment rate in Montgomery County,13.7
Total population in Montgomery County,4196
Average income in Montgomery County,26987.0
Poverty rate in Montgomery County,27.9
Unemployment rate in Montgomery County,16.2
Total population in Montgomery County,1078
Average income in Montgomery County,30929.0
Poverty rate in Montgomery County,37.5
Unemployment rate in Montgomery County,12.1
Total population in Montgomery County,2474
Average income in Montgomery County,27939.0
Poverty rate in Montgomery County,29.3
Unemployment rate in Montgomery County,11.6
Total population in Montgomery County,1563
Average income in Montgomery County,30162.0
Poverty rate in Montgomery County,20.7
Unemployment rate in Montgomery County,13.6
Total population in Montgomery County,2448
Average income in Montgomery County,33370.0
Poverty rate in Montgomery County,28.1
Unemployment rate in Montgomery County,14.4
Total population in Montgomery County,5722
Average income in Montgomery County,66738.0
Poverty rate in Montgomery County,7.5
Unemployment rate in Montgomery County,4.0
Total population in Montgomery County,4450
Average income in Montgomery County,83458.0
Poverty rate in Montgomery County,3.5
Unemployment rate in Montgomery County,2.5
Total population in Montgomery County,4812
Average income in Montgomery County,41480.0
Poverty rate in Montgomery County,18.8
Unemployment rate in Montgomery County,5.4
Total population in Montgomery County,7768
Average income in Montgomery County,32236.0
Poverty rate in Montgomery County,38.5
Unemployment rate in Montgomery County,10.1
Total population in Montgomery County,2829
Average income in Montgomery County,26635.0
Poverty rate in Montgomery County,41.8
Unemployment rate in Montgomery County,22.8
Total population in Montgomery County,4100
Average income in Montgomery County,39301.0
Poverty rate in Montgomery County,24.9
Unemployment rate in Montgomery County,11.7
Total population in Montgomery County,5597
Average income in Montgomery County,41431.0
Poverty rate in Montgomery County,16.9
Unemployment rate in Montgomery County,11.0
Total population in Montgomery County,3648
Average income in Montgomery County,69883.0
Poverty rate in Montgomery County,7.8
Unemployment rate in Montgomery County,3.7
Total population in Montgomery County,6305
Average income in Montgomery County,50098.0
Poverty rate in Montgomery County,21.1
Unemployment rate in Montgomery County,1.9
Total population in Montgomery County,3596
Average income in Montgomery County,56889.0
Poverty rate in Montgomery County,10.1
Unemployment rate in Montgomery County,4.0
Total population in Montgomery County,4936
Average income in Montgomery County,36619.0
Poverty rate in Montgomery County,35.3
Unemployment rate in Montgomery County,14.5
Total population in Montgomery County,917
Average income in Montgomery County,56406.0
Poverty rate in Montgomery County,5.6
Unemployment rate in Montgomery County,3.3
Total population in Montgomery County,2082
Average income in Montgomery County,37891.0
Poverty rate in Montgomery County,21.0
Unemployment rate in Montgomery County,8.1
Total population in Montgomery County,6328
Average income in Montgomery County,48502.0
Poverty rate in Montgomery County,17.6
Unemployment rate in Montgomery County,1.1
Total population in Montgomery County,4386
Average income in Montgomery County,37182.0
Poverty rate in Montgomery County,23.3
Unemployment rate in Montgomery County,6.8
Total population in Montgomery County,9183
Average income in Montgomery County,88768.0
Poverty rate in Montgomery County,6.7
Unemployment rate in Montgomery County,6.8
Total population in Montgomery County,4329
Average income in Montgomery County,62218.0
Poverty rate in Montgomery County,7.3
Unemployment rate in Montgomery County,2.8
